suite,condition_id,retriever,max_steps,process_feedback,quality_reweight,judge_mode,qa_count,success,judge_score,retrieval_precision,hallucination_rate,lexical_f1,exact_match,reference_episode_recall,trajectory_length,elapsed_seconds,cost_usd,success_per_dollar,success_per_second
main,main__bm25__steps2__judge1__quality0__modeprocess,bm25,2,True,False,process,20,0.7,3.9,0.4137969047619047,0.172835,0.3275990748510068,0.0,0.6791666666666666,2.0,14.710043394565584,0.0007838,893.0849706557796,0.047586535350303924
main,main__embedding__steps4__judge0__quality0__modenone,embedding,4,False,False,none,20,0.6,3.0,0.4655,0.3438,0.3677799286755457,0.0,0.8083333333333333,3.6,11.503055691719055,0.0009438985,635.6615674248873,0.05216005347448109
main,main__bm25__steps3__judge0__quality0__modenone,bm25,3,False,False,none,20,0.55,3.6,0.2128499999999999,0.38195,0.3357906362991674,0.0,0.7416666666666667,3.0,8.649145889282227,0.00083949,655.159680282076,0.06359009398622172
main,main__grep__steps3__judge1__quality0__modeprocess,grep,3,True,False,process,20,0.55,3.25,0.2701533333333333,0.32465,0.3296329287598719,0.0,0.7791666666666667,3.0,20.738089418411256,0.00186971,294.1632659610314,0.026521247396672453
main,main__embedding__steps4__judge1__quality0__modeprocess,embedding,4,True,False,process,20,0.55,3.2,0.398435,0.2815,0.380742406222292,0.0,0.8166666666666667,3.85,26.42070888280869,0.001545325,355.91218675683115,0.02081700390551866
main,main__embedding__steps2__judge1__quality0__modeprocess,embedding,2,True,False,process,20,0.5,3.3,0.4557,0.29525,0.3510997958108587,0.0,0.6916666666666667,2.0,15.890193843841551,0.0007907275,632.3290893512619,0.03146594716928399
main,main__grep__steps4__judge0__quality0__modenone,grep,4,False,False,none,20,0.5,3.2,0.3693666666666667,0.315,0.338400244255764,0.0,0.7958333333333333,3.7,9.84344891309738,0.002101805,237.8907653183811,0.0507952044465549
main,main__grep__steps2__judge1__quality0__modeprocess,grep,2,True,False,process,20,0.45,3.1,0.3355533333333333,0.2810833333333333,0.3077900137821728,0.0,0.6291666666666667,2.0,16.642097413539886,0.001299285,346.3443355383923,0.02703986095129352
main,main__grep__steps4__judge1__quality0__modeprocess,grep,4,True,False,process,20,0.45,3.05,0.3303083333333333,0.33425,0.3415445185586759,0.0,0.7791666666666667,4.0,23.541652941703795,0.0029763249999999,151.19316606889876,0.019115055392003918
main,main__bm25__steps4__judge0__quality0__modenone,bm25,4,False,False,none,20,0.4,3.1,0.25933,0.33675,0.3497522699617269,0.0,0.8375,3.95,11.059864020347597,0.00110167,363.08513438688544,0.03616680994125175
main,main__grep__steps2__judge0__quality0__modenone,grep,2,False,False,none,20,0.4,2.85,0.36405,0.368,0.3389728488960485,0.0,0.725,2.0,6.673075747489929,0.00115192,347.2463365511494,0.05994237367235935
main,main__grep__steps3__judge0__quality0__modenone,grep,3,False,False,none,20,0.35,3.1,0.38784,0.35015,0.3383407230175953,0.0,0.8,3.0,8.899926435947418,0.00152087,230.13143792697602,0.03932616775194071
main,main__bm25__steps3__judge1__quality0__modeprocess,bm25,3,True,False,process,20,0.35,3.05,0.22925,0.3404999999999999,0.3302289005726392,0.0,0.6833333333333333,3.0,18.07087734937668,0.001106055,316.4399600381536,0.019368179708887934
main,main__bm25__steps4__judge1__quality0__modeprocess,bm25,4,True,False,process,20,0.35,3.0,0.374535,0.33125,0.3379783847352268,0.0,0.825,4.0,22.017865908145904,0.00154424,226.64870745479976,0.015896181830706454
main,main__bm25__steps2__judge0__quality0__modenone,bm25,2,False,False,none,20,0.35,2.85,0.235,0.3325,0.3199561405714363,0.0,0.7,2.0,6.291349148750305,0.000534785,654.4686182297559,0.055631946618242126
main,main__embedding__steps3__judge1__quality0__modeprocess,embedding,3,True,False,process,20,0.3,2.75,0.39747,0.339775,0.3679511634320515,0.0,0.6916666666666667,3.0,22.59270260334015,0.0011739184999999,255.55436770101636,0.013278623866612903
main,main__embedding__steps3__judge0__quality0__modenone,embedding,3,False,False,none,20,0.3,2.7,0.387985,0.395,0.3715279208098884,0.0,0.8333333333333334,2.95,8.859434354305268,0.0007302495,410.8184942269731,0.03386220699905227
main,main__embedding__steps2__judge0__quality0__modenone,embedding,2,False,False,none,20,0.25,2.75,0.4732983333333333,0.3339888888888889,0.3668795019736514,0.0,0.775,2.0,7.334081470966339,0.000550824,453.8654815331213,0.03408743153313512
