retriever,max_steps,process_feedback,judge_score_mean,judge_score_sem,success_mean,success_sem,reference_episode_recall_mean,reference_episode_recall_sem,hallucination_rate_mean,hallucination_rate_sem,n
bm25,2,False,3.5,0.303,0.5,0.115,0.7,0.055,0.293,0.071,20
bm25,2,True,3.6,0.294,0.6,0.112,0.583,0.052,0.178,0.05,20
bm25,3,False,2.85,0.35,0.3,0.105,0.758,0.059,0.311,0.069,20
bm25,3,True,3.0,0.29,0.4,0.112,0.708,0.064,0.291,0.065,20
bm25,4,False,3.3,0.325,0.45,0.114,0.808,0.056,0.329,0.063,20
bm25,4,True,3.25,0.331,0.4,0.112,0.775,0.06,0.333,0.079,20
embedding,2,False,2.9,0.298,0.3,0.105,0.717,0.05,0.298,0.07,20
embedding,2,True,2.9,0.315,0.3,0.105,0.725,0.054,0.33,0.077,20
embedding,3,False,3.15,0.274,0.4,0.112,0.783,0.051,0.344,0.073,20
embedding,3,True,3.45,0.294,0.5,0.115,0.683,0.057,0.27,0.071,20
embedding,4,False,2.95,0.276,0.45,0.114,0.85,0.048,0.399,0.076,20
embedding,4,True,3.15,0.302,0.45,0.114,0.808,0.05,0.325,0.075,20
grep,2,False,3.2,0.337,0.45,0.114,0.712,0.064,0.278,0.07,20
grep,2,True,3.7,0.282,0.65,0.109,0.6,0.05,0.229,0.066,20
grep,3,False,3.05,0.303,0.45,0.114,0.825,0.057,0.356,0.07,20
grep,3,True,3.35,0.302,0.55,0.114,0.671,0.07,0.256,0.061,20
grep,4,False,3.3,0.325,0.7,0.105,0.829,0.062,0.298,0.068,20
grep,4,True,3.3,0.291,0.45,0.114,0.8,0.059,0.262,0.062,20
