qa_type,era,success,judge_score,reference_episode_recall,retrieval_precision,hallucination_rate,lexical_f1
aggregation,mixed,0.6285,3.8299,0.5269,0.376,0.0312,0.435
aggregation,new,0.7917,4.3889,0.4803,0.5163,0.0208,0.4585
aggregation,old,0.7639,4.1875,0.454,0.3259,0.0142,0.4597
comparative,mixed,0.7361,4.1424,0.6447,0.5991,0.025,0.3621
comparative,new,0.8715,4.5104,0.8397,0.613,0.0125,0.3412
comparative,old,0.691,4.0486,0.4444,0.5299,0.0188,0.3383
multihop,mixed,0.8611,4.5104,0.6823,0.4053,0.0524,0.4137
multihop,new,0.7535,4.1111,0.592,0.4044,0.0452,0.363
multihop,old,0.8611,4.5,0.5208,0.5509,0.0307,0.4566
temporal,mixed,0.809,4.2222,0.7378,0.4891,0.0424,0.3499
temporal,new,0.7593,4.2315,0.7731,0.4375,0.0278,0.3336
temporal,old,0.5521,3.6875,0.7465,0.5287,0.0277,0.3674
