delta,metric,mean_new,mean_ref,delta_value,mwu_p
new_minus_old,success,0.8019323671497584,0.717013888888889,0.0849184782608694,0.09869545343623748
new_minus_mixed,success,0.8019323671497584,0.7586805555555556,0.04325181159420277,0.16821556001693905
new_minus_old,judge_score,4.314009661835749,4.105902777777779,0.20810688405797073,0.1287007142559516
new_minus_mixed,judge_score,4.314009661835749,4.176215277777778,0.13779438405797162,0.22522585251976035
new_minus_old,reference_episode_recall,0.6823671497584541,0.5414496527777778,0.14091749698067635,0.01935105383077686
new_minus_mixed,reference_episode_recall,0.6823671497584541,0.6479311342592592,0.03443601549919495,0.5221171395571657
new_minus_old,retrieval_precision,0.5007382590586767,0.48386392462668504,0.01687433443199171,0.6759136862086041
new_minus_mixed,retrieval_precision,0.5007382590586767,0.467394450054828,0.03334380900384876,0.43753017947402106
new_minus_old,hallucination_rate,0.027306763285024155,0.022847222222222224,0.004459541062801931,0.7615825742887117
new_minus_mixed,hallucination_rate,0.027306763285024155,0.03773602430555555,-0.010429261020531398,0.09315755979495335
new_minus_old,lexical_f1,0.36819625426048813,0.4054932835583532,-0.03729702929786505,0.059366203920508974
new_minus_mixed,lexical_f1,0.36819625426048813,0.39015532259671915,-0.021959068336231014,0.15921844284932973
